Id,Label,Node_value,Node_cluster,Node_cluster_len,Node_lineage,Node_lineage_raw,Node_lineage2
22174,22174-B.1.160,1000,875,1180,B.1.160,B.1.160,B.1.1
22614,22614-B.1.1,100,853,1201,B.1.1,B.1.1,B.1.1
23294,23294-B.1.243,100,468,1697,B.1.243,B.1.243,B.1.243
23398,23398-B.1.221,1000,235,2347,B.1.221,B.1.221,B.1.221
23399,23399-B.1.177.81,1000,333,1968,B.1.177.81,B.1.177.81,B.1.177
23549,23549-B.1.258,100,867,1190,B.1.258,B.1.258,B.1.258
23662,23662-B.1.1.214,100,703,1376,B.1.1.214,B.1.1.214,B.1.1
23687,23687-B.1.177,1000,147,3072,B.1.177,B.1.177,B.1.177
23688,23688-B.1.177.4,100,700,1379,B.1.177.4,B.1.177.4,B.1.177
24260,24260-B.1.221,100,647,2530,B.1.221,B.1.221,B.1.221
24701,24701-B.1.177,1000,579,1530,B.1.177,B.1.177,B.1.177
24716,24716-B.1.2,100,852,1202,B.1.2,B.1.2,B.1.2
24969,24969-B.1.2,1000,535,1596,B.1.2,B.1.2,B.1.2
25245,25245-B.1.177,1000,678,1410,B.1.177,B.1.177,B.1.177
25247,25247-B.1.2,1000,870,1188,B.1.2,B.1.2,B.1.2
25277,25277-B.1.221,1000,647,2530,B.1.221,B.1.221,B.1.221
25524,25524-B.1.177,100,432,2373,B.1.177,B.1.177,B.1.177
25557,25557-B.1.177.4,1000,700,1379,B.1.177.4,B.1.177.4,B.1.177
25558,25558-B.1.177,1000,467,1698,B.1.177,B.1.177,B.1.177
25868,25868-B.1.177.57,1000,486,1671,B.1.177.57,B.1.177.57,B.1.177
25967,25967-B.1.177.60,1000,501,1647,B.1.177.60,B.1.177.60,B.1.177
27674,27674-B.1.1,100,225,7023,B.1.1,B.1.1,B.1.1
27938,27938-B.1.177.86,1000,580,1530,B.1.177.86,B.1.177.86,B.1.177
28614,28614-B.1,100,320,2676,B.1,B.1,B.1
29282,29282-B.1.2,100,936,1110,B.1.2,B.1.2,B.1.2
29695,29695-B.1,100,320,2676,B.1,B.1,B.1
30519,30519-B.1.2,100,901,2171,B.1.2,B.1.2,B.1.2
31152,31152-B.1.2,1000,936,1110,B.1.2,B.1.2,B.1.2
31275,31275-B.1,100,449,1723,B.1,B.1,B.1
31364,31364-B.1.1.70,100,853,1201,B.1.1.70,B.1.1.70,Alpha
31422,31422-B.1.1.214,100,703,1376,B.1.1.214,B.1.1.214,B.1.1
31444,31444-B.1.1.214,1000,703,1376,B.1.1.214,B.1.1.214,B.1.1
31701,31701-B.1.2,1000,852,1202,B.1.2,B.1.2,B.1.2
31821,31821-B.1.258,100,867,1190,B.1.258,B.1.258,B.1.258
31853,31853-B.1.1.7,1000,225,7023,B.1.1.7,B.1.1.7,Alpha
32434,32434-B.1.2,100,936,1110,B.1.2,B.1.2,B.1.2
32813,32813-B.1.429,100,320,2676,B.1.429,B.1.429,Epsilon
33005,33005-B.1.177.21,1000,543,1582,B.1.177.21,B.1.177.21,B.1.177
